,0,1,Fecha registrada,OSF
103,0.34712285,0.26069996,2021-04-28 09:24:52.488000,"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C."
104,0.34712285,0.26069996,2021-04-28 11:10:19.567000,"MARCO, Museo de Arte Contemporáneo"
105,0.34712285,0.26069996,2021-04-28 11:15:34.837000,"Fundación Yepez, A.C."
106,0.34712285,0.26069996,2021-04-28 11:21:39.202000,"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C."
107,0.34712285,0.26069996,2021-04-28 11:59:37.533000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
108,0.34712285,0.26069996,2021-04-28 12:06:27.429000,"MARCO, Museo de Arte Contemporáneo"
109,0.34712285,0.26069996,2021-04-28 12:30:23.066000,"Blooders.org, A.C."
110,0.34712285,0.26069996,2021-04-28 12:32:46.747000,Zihuame Mochilla A.C.
111,0.34712285,0.26069996,2021-04-28 12:45:27.314000,"Corporación de Desarrollo Integral GAON, S.A. de C.V."
112,0.34712285,0.26069996,2021-04-28 12:46:21.960000,"Fundación Yepez, A.C."
113,0.34712285,0.26069996,2021-04-28 13:03:23.727000,"Corporación de Desarrollo Integral GAON, S.A. de C.V."
114,0.34712285,0.26069996,2021-04-28 13:16:49.328000,"MARCO, Museo de Arte Contemporáneo"
115,0.34712285,0.26069996,2021-04-28 13:52:41.801000,"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty"
116,0.34712285,0.26069996,2021-04-28 15:06:26.659000,"MARCO, Museo de Arte Contemporáneo"
117,0.34712285,0.26069996,2021-04-28 15:07:07.743000,"MARCO, Museo de Arte Contemporáneo"
118,0.34712285,0.26069996,2021-04-28 15:08:58.774000,"MARCO, Museo de Arte Contemporáneo"
119,0.34712285,0.26069996,2021-04-28 15:49:55.025000,"MARCO, Museo de Arte Contemporáneo"
120,0.2606599,0.20392671,2021-04-28 16:04:15.820000,"Blooders.org, A.C."
121,0.34712285,0.26069996,2021-04-28 16:13:46.729000,Zihuame Mochilla A.C.
122,0.34712285,0.26069996,2021-04-28 16:39:12.253000,"Fundación Rolivel, A.C."
123,0.34712285,0.26069996,2021-04-28 18:12:27.862000,"Fundación El Mundo Escribe, A.C."
124,0.26055968,0.21093741,2021-04-28 18:53:47.642000,Reapropia
125,0.34712285,0.26069996,2021-04-28 18:56:48.532000,"PROMOCIÓN DE PAZ, A.B.P."
126,0.34712285,0.26069996,2021-04-28 18:59:15.364000,León Ortigosa ABP
127,0.34712285,0.26069996,2021-04-28 19:14:49.961000,"Blooders.org, A.C."
128,0.34712285,0.26069996,2021-04-28 19:28:15.943000,"Comedor Infantil Mensajero de Paz - Esperanza al Débil, A.C."
129,0.34712285,0.26069996,2021-04-28 19:32:05.484000,"PROMOCIÓN DE PAZ, A.B.P."
130,0.34712285,0.26069996,2021-04-28 19:41:00.714000,"VIFAC, Vida y Familia Monterrey, A.B.P."
131,0.34712285,0.26069996,2021-04-28 20:11:36.964000,"Blooders.org, A.C."
132,0.34712285,0.26069996,2021-04-28 20:36:41.718000,"Blooders.org, A.C."
133,0.34712285,0.26069996,2021-04-28 20:52:45.813000,"Casa Paterna La Gran Familia, A.C."
134,0.34712285,0.26069996,2021-04-28 21:17:33.028000,Reapropia
135,0.34712285,0.26069996,2021-04-28 21:26:21.874000,"Blooders.org, A.C."
136,0.34712285,0.26069996,2021-04-28 22:05:45.305000,"Fundación Yepez, A.C."
137,0.34712285,0.26069996,2021-04-28 22:08:07.649000,"VIFAC, Vida y Familia Monterrey, A.B.P."
138,0.34712285,0.26069996,2021-04-28 22:09:28.652000,"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty"
139,0.34712285,0.26069996,2021-04-28 22:19:52.352000,"Plan Cuatro Ciénegas 2040, A.C."
140,0.34712285,0.26069996,2021-04-28 22:51:00.697000,"Casa Paterna La Gran Familia, A.C."
141,0.34712285,0.26069996,2021-04-28 23:18:27.824000,Zihuame Mochilla A.C.
142,0.34712285,0.26069996,2021-04-28 23:54:34.431000,"Zamora Coaching INC, A.C."
143,0.34712285,0.26069996,2021-04-29 00:13:01.293000,"Corporación de Desarrollo Integral GAON, S.A. de C.V."
144,0.26420653,0.6008762,2021-04-29 01:45:17.316000,"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty"
145,0.34712285,0.26069996,2021-04-29 06:45:45.416000,"PROMOCIÓN DE PAZ, A.B.P."
146,0.34712285,0.26069996,2021-04-29 07:42:48.059000,"Plan Cuatro Ciénegas 2040, A.C."
147,0.34712285,0.26069996,2021-04-29 07:57:12.119000,Zihuame Mochilla A.C.
148,0.2612692,0.28678265,2021-04-29 08:10:50.495000,Reapropia
149,0.26218438,0.19998679,2021-04-29 08:19:56.453000,Zihuame Mochilla A.C.
150,0.34712285,0.26069996,2021-04-29 08:20:03.665000,"Fundación Rolivel, A.C."
151,0.34712285,0.26069996,2021-04-29 08:29:39.104000,"VIFAC, Vida y Familia Monterrey, A.B.P."
152,0.34712285,0.26069996,2021-04-29 08:43:45.228000,"Fundación Yepez, A.C."
153,0.34712285,0.26069996,2021-04-29 08:50:36.916000,"Plan Cuatro Ciénegas 2040, A.C."
154,0.34712285,0.26069996,2021-04-29 09:13:39.556000,DIF Nuevo León
155,0.34712285,0.26069996,2021-04-29 09:29:54.440000,"TEDI, Taller de Expresión y Desarrollo Integral, A.C."
156,0.34712285,0.26069996,2021-04-29 09:34:54.326000,FUNDACION PRO BIENESTAR AL ANCIANO AC
157,0.34712285,0.26069996,2021-04-29 09:42:58.243000,"Fundación Yepez, A.C."
158,0.34712285,0.26069996,2021-04-29 09:44:53.514000,"CIDEPO, Centro de Investigación y Desarrollo de Políticas Públicas, A.C."
159,0.34712285,0.26069996,2021-04-29 10:04:05.234000,"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C."
160,0.34712285,0.26069996,2021-04-29 10:35:43.549000,"Programa de Acompañamiento de Servicio Social, Dirección de Servicio Social Campus Mty"
161,0.34712285,0.26069996,2021-04-29 10:57:39.369000,"Corporación de Desarrollo Integral GAON, S.A. de C.V."
162,0.34712285,0.26069996,2021-04-29 11:09:13.176000,"Fundación El Mundo Escribe, A.C."
163,0.34712285,0.26069996,2021-04-29 11:53:18.236000,Casa Monarca Ayuda Humanitaria al Migrante A.B.P.
164,0.34712285,0.26069996,2021-04-29 11:57:52.023000,"Zamora Coaching INC, A.C."
165,0.34712285,0.26069996,2021-04-29 11:59:01.571000,"FICAE, Fundación Internacional de Cabalgantes y Actividades Ecuestres A. C."
166,0.34712285,0.26069996,2021-04-29 12:10:33.761000,"Plan Cuatro Ciénegas 2040, A.C."
